iter	Logloss
0	0.6258393312
1	0.5683202499
2	0.5110465808
3	0.471160693
4	0.4231209388
5	0.3941564804
6	0.3624379329
7	0.3277853208
8	0.3075574484
9	0.2966941931
10	0.2726329168
11	0.2500661459
12	0.2352894514
13	0.2190128473
14	0.2042255402
15	0.190140822
16	0.1772882021
17	0.1654390433
18	0.1544214518
19	0.1461270406
20	0.1381236101
21	0.1317943915
22	0.1294002288
23	0.1245588034
24	0.1189632416
25	0.1147536742
26	0.1122291272
27	0.1079880152
28	0.1031765571
29	0.1012132168
30	0.09900779602
31	0.09489131585
32	0.09315188114
33	0.09157561033
34	0.08716194446
35	0.08622862131
36	0.08536045368
37	0.08442920294
38	0.08280769984
39	0.08066248894
40	0.07774604895
41	0.07751551653
42	0.07700218298
43	0.07403997886
44	0.07376165879
45	0.073441536
46	0.07315495075
47	0.07148705385
48	0.07049160737
49	0.07020975993
50	0.06970677009
51	0.06943014341
52	0.06910920143
53	0.06884818811
54	0.06862266247
55	0.06838231209
56	0.06819190734
57	0.06802222056
58	0.06779549672
59	0.06755976799
60	0.06706045835
61	0.06673674706
62	0.06568846947
63	0.06352879451
64	0.06301176854
65	0.06289107983
66	0.06278261772
67	0.06118957813
68	0.06101918221
69	0.06078649179
70	0.06021560155
71	0.0600904318
72	0.05979688962
73	0.05932342089
74	0.05917902482
75	0.05909931965
76	0.05760332254
77	0.05745479388
78	0.05732488632
79	0.05600608923
80	0.0557856193
81	0.0551410944
82	0.05442469548
83	0.05435645275
84	0.05355951114
85	0.05347136962
86	0.0533320109
87	0.05325355285
88	0.05312624344
89	0.05305998142
90	0.05231000827
91	0.05061765206
92	0.04912342475
93	0.04906612787
94	0.0486323161
95	0.04810158412
96	0.04750157625
97	0.047053386
98	0.04690899604
99	0.04547490218
100	0.0453436986
101	0.04450389055
102	0.04438654887
103	0.04430123476
104	0.04417864482
105	0.04376154068
106	0.04365237248
107	0.04355862202
108	0.04349702444
109	0.04217075079
110	0.04210948333
111	0.04196217427
112	0.04179841127
113	0.04118064734
114	0.04109363373
115	0.04096312095
116	0.04085582342
117	0.04080662666
118	0.04064834729
119	0.04017438033
120	0.04009189361
121	0.03991237054
122	0.03976824956
123	0.03973856339
124	0.03969533627
125	0.0394403262
126	0.03848734269
127	0.03818686192
128	0.03725392696
129	0.03710685938
130	0.03613542899
131	0.03579579867
132	0.03574578884
133	0.03549755537
134	0.03543971135
135	0.0351942472
136	0.03512273079
137	0.03471408441
138	0.0345848218
139	0.03450659605
140	0.03440724275
141	0.03434063227
142	0.03429207435
143	0.03417593088
144	0.03395907084
145	0.03388710511
146	0.03373043354
147	0.03351991299
148	0.03342261987
149	0.03290967758
150	0.03209272409
151	0.03205703466
152	0.03196090307
153	0.03156927916
154	0.03150070325
155	0.03146230869
156	0.0314262922
157	0.03062223777
158	0.03057196507
159	0.03052735634
160	0.03048339868
161	0.03021187049
162	0.0300659033
163	0.03001861083
164	0.02993137409
165	0.02967447501
166	0.02921794011
167	0.02914492289
168	0.028501477
169	0.02843459753
170	0.02839653309
171	0.02836430378
172	0.02756601725
173	0.02754164659
174	0.02747892722
175	0.0274261389
176	0.02735605301
177	0.02681672267
178	0.0267725541
179	0.02672589437
180	0.02651678599
181	0.02648066863
182	0.02603746378
183	0.02600101936
184	0.02598014856
185	0.02595282518
186	0.02592441363
187	0.0258396222
188	0.02580158527
189	0.02534170487
190	0.02528631076
191	0.02501727985
192	0.02495377797
193	0.02492601138
194	0.02489536084
195	0.0241810817
196	0.02414861245
197	0.02374437833
198	0.02368378639
199	0.02365664488
